,title,originallink,link,description,pubDate
25,"포레스텔라 고우림, ♥김연아 사로잡은 꽃미모...'귀공자 비주얼' 아이돌이 따...",http://www.newsinside.kr/news/articleView.html?idxno=1140373,http://www.newsinside.kr/news/articleView.html?idxno=1140373,"퀸의 &apos;보헤미안 랩소디(Bohemian Rhapsody)&apos;를 열창하며 뜨거운 무대를 펼쳤다. 한편, 서울대 성악과 출신의 재원인 고우림은 오는 10월 피겨스타 <b>김연아</b>와 3년 교제 끝 결혼 소식을 전해 화제가 됐다. [뉴스인사이드 ]","Tue, 16 Aug 2022 15:34:00 +0900"
26,"[화보IS] 예비신부 김연아, 드레스 입고 패션지 커버",https://isplus.com/2022/08/16/enter/entertainment/20220816152225016.html,https://n.news.naver.com/mnews/article/241/0003225200?sid=106,오는 10월 결혼을 앞둔 스포츠 스타 <b>김연아</b>가 드레스 차림으로 패션지 커버를 장식했다. <b>김연아</b>는 패션지 엘르의 9월호에서 프랑스 브랜드 디올의 앰배서더의 카리스마를 과시했다. 화보와 함께 이어진 인터뷰에서... ,"Tue, 16 Aug 2022 15:22:00 +0900"
27,"'예비신부' 김연아 ""서른 살 넘고 새로운 인생 시작돼""",http://woman.chosun.com/news/articleView.html?idxno=101645,http://woman.chosun.com/news/articleView.html?idxno=101645,&apos;피겨 여왕&apos; <b>김연아</b>가 인생의 새로운 챕터를 맞는 소감을 밝혔다. 16일 패션 매거진 엘르가 공개한 인터뷰에서 <b>김연아</b>는 &apos;인생에 분기점이 나누어져 있는 것 같냐&apos;는 질문에 &quot;한국 나이로 일곱 살 때부터 선수 생활을... ,"Tue, 16 Aug 2022 15:14:00 +0900"
28,"♥고우림과 결혼 앞둔 김연아 ""새 인생 시작되는 느낌"" [화보]",http://star.mt.co.kr/stview.php?no=2022081614445142492,https://n.news.naver.com/mnews/article/108/0003079232?sid=106,<b>김연아</b>와 엑소 세훈이 패션 매거진 &apos;엘르&apos; 9월호 커버를 장식했다. 공개된 커버 속 <b>김연아</b>는 우아하고도 아름다운 여인의 모습으로 눈길을 끌었다. 세훈은 고급스러우면서도 본인만의 쉬크한 분위기를 자랑했다. 화보 촬영... ,"Tue, 16 Aug 2022 14:50:00 +0900"
29,"김연아, 고우림과 결혼 앞두고 디올 드레스...엑소 세훈, 데뷔 10년 맞이해 ...",http://www.kdfnews.com/news/articleView.html?idxno=95642,http://www.kdfnews.com/news/articleView.html?idxno=95642,디올 앰배서더 <b>김연아</b>와 엑소 세훈이 매거진 엘르 9월호 커버를 장식했다. 두 사람은 이번 화보에서 서로 다른 공간과 콘셉트를 소화해냈다. 공개된 커버 속 <b>김연아</b>는 디올 파인 주얼리의 &apos;라 로즈 디올(LA ROSE DIOR)&apos; 컬렉션... ,"Tue, 16 Aug 2022 14:36:00 +0900"
30,"예비신부 김연아 ""서른 넘고 새 인생 시작되는 느낌""",http://www.sporbiz.co.kr/news/articleView.html?idxno=628729,http://www.sporbiz.co.kr/news/articleView.html?idxno=628729,<b>김연아</b>. /엘르  10월 결혼을 앞둔 &apos;피겨여왕&apos; <b>김연아</b>의 인터뷰가 공개됐다. 16일 <b>김연아</b>는 패션 메거진 엘르 화보 촬영 후 인터뷰에서 &quot;한국 나이로 일곱 살 때부터 선수 생활을 했다. 선수로서 은퇴하기까지의 기간이... ,"Tue, 16 Aug 2022 14:36:00 +0900"
31,"[화보]'예비신부' 김연아 ""새로운 인생 시작되는 느낌""",https://www.nocutnews.co.kr/news/5802495,https://n.news.naver.com/mnews/article/079/0003675149?sid=106,결혼을 앞둔 전 피겨스케이팅 선수 <b>김연아</b>가 패션 매거진 &apos;엘르&apos; 9월호 커버를 장식했다. 공개된 커버 속 <b>김연아</b>는 디올 파인 주얼리의 &apos;라 로즈 디올(LA ROSE DIOR)&apos;컬렉션 주얼리와 새로운 디올 FW22컬렉션 의상을... ,"Tue, 16 Aug 2022 14:27:00 +0900"
32,"김연아, 결혼 앞두고 '레전드' 화보 추가…'여왕의 품격'",http://www.inews24.com/view/1510643,https://n.news.naver.com/mnews/article/031/0000691935?sid=106,그룹 포레스텔라 멤버 고우림과 결혼을 앞둔 피겨여왕 <b>김연아</b>가 패션 매거진 &apos;엘르&apos; 9월호 커버를 장식했다. 사진 속 <b>김연아</b>는 그가 엠베서더로 나서고 있는 디올의 FW22컬렉션 의상을 완벽하게 소화하는 동시에... ,"Tue, 16 Aug 2022 14:00:00 +0900"
33,"그레이스유, 글로벌 홈페이지 오픈으로 세계 진출 발판 삼는다",http://www.fashionbiz.co.kr/TN/?cate=2&recom=2&idx=194356,http://www.fashionbiz.co.kr/TN/?cate=2&recom=2&idx=194356,"한편, 그레이스유는 매 시즌마다 여성의 라인을 살린 고급스러운 의상을 출시하며 특유의 페미닌하고 우아한 무드로 배우 김태희패션, 송혜교패션, 수지패션, <b>김연아</b>패션 등으로 알려져 있다. 연예인뿐만 아니라... ","Tue, 16 Aug 2022 13:44:00 +0900"
34,"[직썰포토] 김연아X엑소 세훈, 다른 매력으로 남다른 존재감 뽐낸 화보",https://www.ziksir.com/news/articleView.html?idxno=29113,https://www.ziksir.com/news/articleView.html?idxno=29113,<b>김연아</b> 화보 [엘르]  피겨스케이팅 대표 출신 <b>김연아</b>와 그룹 엑소 세훈이 패션 매거진 엘르 9월호 커버를 장식했다. 디올 앰배서더인 두 사람은 이번 화보에서 서로 다른 공간과 콘셉트를 선보였다. 엑소 세훈 화보 [엘르]... ,"Tue, 16 Aug 2022 13:36:00 +0900"
35,"김연아·엑소 세훈 화보, 대체불가 매력부터 독보적 비주얼까지 ‘시선강탈’",http://www.breaknews.com/916207,http://www.breaknews.com/916207,‘피겨여왕’ <b>김연아</b>와 ‘글로벌 아이돌’ 그룹 엑소 멤버 세훈이 패션 매거진... 인생에 분기점이 나눠져 있는 것 같냐는 질문에 <b>김연아</b>는 “한국 나이로 일곱 살... ,"Tue, 16 Aug 2022 13:16:00 +0900"
36,우아한 드레스 입고 동화 속 '여왕님' 같은 미모 자랑한 '피겨퀸' 김연아,https://www.insight.co.kr/news/408158,https://www.insight.co.kr/news/408158,10월에 그룹 &apos;포레스텔라&apos;의 멤버 고우림과 결혼하는 &apos;피겨여왕&apos; <b>김연아</b>의 아름다운 근황이 전해졌다.16일 패션 매거진 &apos;엘르&apos; 측은 9월호 커버를 장식한 <b>김연아</b>(33)의 모습을 공개했다.인기 명품 브랜드 디올의 앰배서더인... ,"Tue, 16 Aug 2022 12:38:00 +0900"
37,"김연아 인터뷰, 주변사람들 향한 애정 드러내",http://www.cbci.co.kr/news/articleView.html?idxno=431448,http://www.cbci.co.kr/news/articleView.html?idxno=431448,사진제공 : 엘르 [반응이 센 CBC뉴스ㅣCBCNEWS]  10월 결혼을 앞둔 <b>김연아</b> 화보와 인터뷰가 공개됐다. 패션 매거진 엘르는 9월호 커버를 장식한 <b>김연아</b>와 그룹 엑소 멤버 세훈의 화보 및 인터뷰를 공개했다. 화보에서... ,"Tue, 16 Aug 2022 12:36:00 +0900"
38,"김연아 ""서른살 이후 새로운 인생이 시작되는 느낌이 든다""",https://www.nbntv.co.kr/news/articleView.html?idxno=988548,https://www.nbntv.co.kr/news/articleView.html?idxno=988548,16일 <b>김연아</b>가 화보 촬영 후 인터뷰한 내용이 화제다./사진=<b>김연아</b> 인스타그램 16일 <b>김연아</b>가 화보 촬영 후 인터뷰한 내용이 화제다. <b>김연아</b>는 &quot;한국 나이로 일곱 살 때부터 선수 생활을 했다. 선수로서 은퇴하기까지의... ,"Tue, 16 Aug 2022 12:32:00 +0900"
39,임영웅 8월 광고모델 브랜드평판 3위...1~2위는?,https://www.sisamagazine.co.kr/news/articleView.html?idxno=459209,https://www.sisamagazine.co.kr/news/articleView.html?idxno=459209,"2022년 8월 광고모델 브랜드평판 30위 순위는 방탄소년단, 아이유, 임영웅, 유재석, 손흥민, 공유, 손석구, 블랙핑크, <b>김연아</b>, 김종국, 이찬원, 강다니엘, 차은우, 세븐틴, 이정재, 소녀시대, 정우성, 아이브, 에스파... ","Tue, 16 Aug 2022 12:02:00 +0900"
40,"'10월의 신부' 김연아, 결혼 발표 이후 첫 인터뷰에서 남긴 말",https://www.wikitree.co.kr/articles/780672,https://www.wikitree.co.kr/articles/780672,피겨여왕 <b>김연아</b>가 결혼 발표 이후 진행한 화보 인터뷰가 팬들의 이목을 끌고 있다. 패션 잡지 엘르는 16일 9월호 커버의 주인공 <b>김연아</b>의 화보와 촬영장에서 진행한 인터뷰  내용을 공개했다. <b>김연아</b>는 &apos;인생에 분기점이... ,"Tue, 16 Aug 2022 11:58:00 +0900"
